"ï..companyId","componentId","startDate","capitalStructureDescription","capitalStructureSubTypeName","filingDate","periodEndDate","periodType","outstandingBalance","couponRate","maturityYearHigh","maturityMonthHigh","maturityDayHigh","seniority","secured","convertiblity","issuedCurrency","filingCurrency","reportingAge"
"515275",901864850,NA,"4.75% Notes Payable","Bonds and Notes","2008-05-12 00:00:00.000","2008-03-31 00:00:00.000","quarter",2.5e+08,4.75,2010,NA,NA,"Senior","NO","Not Convertible","USD","USD",1
"515275",901864850,NA,"4.75% Notes Payable","Bonds and Notes","2009-05-08 00:00:00.000","2009-03-31 00:00:00.000","quarter",2.5e+08,4.75,2010,NA,NA,"Senior","NO","Not Convertible","USD","USD",2
"515275",901864850,NA,"4.75% Notes Payable","Bonds and Notes","2009-11-09 00:00:00.000","2009-09-30 00:00:00.000","quarter",2.5e+08,4.75,2010,NA,NA,"Senior","NO","Not Convertible","USD","USD",3
"128209",901866604,NA,"3% Five-Year Notes","Bonds and Notes","2003-07-23 00:00:00.000","2003-06-30 00:00:00.000","quarter",1e+08,3,2008,NA,NA,"Senior",NA,"Not Convertible","USD","USD",1
"128209",901866604,NA,"3% Five-Year Notes","Bonds and Notes","2003-10-22 00:00:00.000","2003-09-30 00:00:00.000","quarter",1e+08,3,2008,NA,NA,"Senior",NA,"Not Convertible","USD","USD",2
"175265",901866621,NA,"7.875% Debentures Due 2026","Bonds and Notes","2010-04-28 00:00:00.000","2010-03-31 00:00:00.000","quarter",7.2e+07,7.875,2026,NA,NA,"Senior",NA,"Not Convertible","USD","USD",1
"175265",901866621,NA,"7.875% Debentures Due 2026","Bonds and Notes","2010-07-30 00:00:00.000","2010-06-30 00:00:00.000","quarter",7.2e+07,7.875,2026,NA,NA,"Senior",NA,"Not Convertible","USD","USD",2
"175265",901866621,NA,"7.875% Debentures Due 2026","Bonds and Notes","2010-10-29 00:00:00.000","2010-09-30 00:00:00.000","quarter",7.2e+07,7.875,2026,NA,NA,"Senior",NA,"Not Convertible","USD","USD",3
"175265",901866621,NA,"7.875% Debentures Due 2026","Bonds and Notes","2011-04-28 00:00:00.000","2011-03-31 00:00:00.000","quarter",7.2e+07,7.875,2026,NA,NA,"Senior",NA,"Not Convertible","USD","USD",4
"175265",901866621,NA,"7.875% Debentures Due 2026","Bonds and Notes","2011-07-29 00:00:00.000","2011-06-30 00:00:00.000","quarter",7.2e+07,7.875,2026,NA,NA,"Senior",NA,"Not Convertible","USD","USD",5
"175265",901866621,NA,"7.875% Debentures Due 2026","Bonds and Notes","2011-10-26 00:00:00.000","2011-09-30 00:00:00.000","quarter",7.2e+07,7.875,2026,NA,NA,"Senior",NA,"Not Convertible","USD","USD",6
"175265",901866621,NA,"7.875% Debentures Due 2026","Bonds and Notes","2012-04-24 00:00:00.000","2012-03-31 00:00:00.000","quarter",7.2e+07,7.875,2026,NA,NA,"Senior",NA,"Not Convertible","USD","USD",7
"175265",901866621,NA,"7.875% Debentures Due 2026","Bonds and Notes","2012-07-24 00:00:00.000","2012-06-30 00:00:00.000","quarter",7.2e+07,7.875,2026,NA,NA,"Senior",NA,"Not Convertible","USD","USD",8
"175265",901866621,NA,"7.875% Debentures Due 2026","Bonds and Notes","2012-10-31 00:00:00.000","2012-09-30 00:00:00.000","quarter",7.2e+07,7.875,2026,NA,NA,"Senior",NA,"Not Convertible","USD","USD",9
"278212",901867007,NA,"6.375% U.S. Dollar Debentures due July 2028","Bonds and Notes","2003-09-03 00:00:00.000","2003-07-30 00:00:00.000","quarter",243074000,6.375,2028,7,NA,"Senior",NA,"Not Convertible","USD","USD",1
"278212",901867007,NA,"6.375% U.S. Dollar Debentures due July 2028","Bonds and Notes","2006-08-31 00:00:00.000","2006-08-02 00:00:00.000","quarter",232656000,6.375,2028,7,NA,"Senior",NA,"Not Convertible","USD","USD",2
"278212",901867007,NA,"6.375% U.S. Dollar Debentures due July 2028","Bonds and Notes","2007-02-27 00:00:00.000","2007-01-31 00:00:00.000","quarter",232656000,6.375,2028,7,NA,"Senior",NA,"Not Convertible","USD","USD",3
"278212",901867007,NA,"6.375% U.S. Dollar Debentures due July 2028","Bonds and Notes","2007-08-24 00:00:00.000","2007-08-01 00:00:00.000","quarter",229842000,6.375,2028,7,NA,"Senior",NA,"Not Convertible","USD","USD",4
"278212",901867008,NA,"6.625% U.S. Dollar Notes due July 2011","Bonds and Notes","2003-09-03 00:00:00.000","2003-07-30 00:00:00.000","quarter",749142000,6.625,2011,7,NA,"Senior",NA,"Not Convertible","USD","USD",1
"278212",901867008,NA,"6.625% U.S. Dollar Notes due July 2011","Bonds and Notes","2006-08-31 00:00:00.000","2006-08-02 00:00:00.000","quarter",749457000,6.625,2011,7,NA,"Senior",NA,"Not Convertible","USD","USD",2
"278212",901867008,NA,"6.625% U.S. Dollar Notes due July 2011","Bonds and Notes","2007-02-27 00:00:00.000","2007-01-31 00:00:00.000","quarter",749457000,6.625,2011,7,NA,"Senior",NA,"Not Convertible","USD","USD",3
"278212",901867008,NA,"6.625% U.S. Dollar Notes due July 2011","Bonds and Notes","2007-08-24 00:00:00.000","2007-08-01 00:00:00.000","quarter",749563000,6.625,2011,7,NA,"Senior",NA,"Not Convertible","USD","USD",4
"366314",901867526,NA,"6 3/4% Notes Due 2008","Bonds and Notes","2006-01-26 00:00:00.000","2005-12-31 00:00:00.000","quarter",1e+08,6.75,2008,NA,NA,"Senior",NA,"Not Convertible","USD","USD",1
"366314",901867526,NA,"6 3/4% Notes Due 2008","Bonds and Notes","2006-04-28 00:00:00.000","2006-04-02 00:00:00.000","quarter",5e+06,6.75,2008,NA,NA,"Senior",NA,"Not Convertible","USD","USD",2
"366314",901867526,NA,"6 3/4% Notes Due 2008","Bonds and Notes","2006-08-01 00:00:00.000","2006-06-30 00:00:00.000","quarter",5e+06,6.75,2008,NA,NA,"Senior",NA,"Not Convertible","USD","USD",3
"366314",901867526,NA,"6 3/4% Notes Due 2008","Bonds and Notes","2008-01-29 00:00:00.000","2007-12-31 00:00:00.000","quarter",5e+06,6.75,2008,NA,NA,"Senior",NA,"Not Convertible","USD","USD",4
"366314",901867526,NA,"6 3/4% Notes Due 2008","Bonds and Notes","2008-04-30 00:00:00.000","2008-03-31 00:00:00.000","quarter",0,6.75,2008,NA,NA,"Senior",NA,"Not Convertible","USD","USD",5
"366314",901867526,NA,"6 3/4% Notes Due 2008","Bonds and Notes","2008-08-05 00:00:00.000","2008-06-30 00:00:00.000","quarter",0,6.75,2008,NA,NA,"Senior",NA,"Not Convertible","USD","USD",6
"274561",901867875,NA,"Fixed-Rate Notes Due in May 2013","Bonds and Notes","2006-05-04 00:00:00.000","2006-04-02 00:00:00.000","quarter",9.99e+08,4.25,2013,5,NA,"Senior","NO","Not Convertible","USD","USD",1
"274561",901867875,NA,"Fixed-Rate Notes Due in May 2013","Bonds and Notes","2006-08-03 00:00:00.000","2006-07-02 00:00:00.000","quarter",9.99e+08,4.25,2013,5,NA,"Senior","NO","Not Convertible","USD","USD",2
"274561",901867875,NA,"Fixed-Rate Notes Due in May 2013","Bonds and Notes","2006-11-02 00:00:00.000","2006-10-01 00:00:00.000","quarter",9.99e+08,4.25,2013,5,NA,"Senior","NO","Not Convertible","USD","USD",3
"274561",901867875,NA,"Fixed-Rate Notes Due in May 2013","Bonds and Notes","2007-05-02 00:00:00.000","2007-04-01 00:00:00.000","quarter",9.99e+08,4.25,2013,5,NA,"Senior","NO","Not Convertible","USD","USD",4
"274561",901867876,NA,"Fixed-Rate Notes Due in August 2010","Bonds and Notes","2006-05-04 00:00:00.000","2006-04-02 00:00:00.000","quarter",6.98e+08,4.5,2010,8,NA,"Senior","NO","Not Convertible","USD","USD",1
"274561",901867876,NA,"Fixed-Rate Notes Due in August 2010","Bonds and Notes","2006-08-03 00:00:00.000","2006-07-02 00:00:00.000","quarter",6.98e+08,4.5,2010,8,NA,"Senior","NO","Not Convertible","USD","USD",2
"274561",901867876,NA,"Fixed-Rate Notes Due in August 2010","Bonds and Notes","2006-11-02 00:00:00.000","2006-10-01 00:00:00.000","quarter",6.98e+08,4.5,2010,8,NA,"Senior","NO","Not Convertible","USD","USD",3
"274561",901867876,NA,"Fixed-Rate Notes Due in August 2010","Bonds and Notes","2007-05-02 00:00:00.000","2007-04-01 00:00:00.000","quarter",6.99e+08,4.5,2010,8,NA,"Senior","NO","Not Convertible","USD","USD",4
"177934",901869748,NA,"7% Debentures Due January 15, 2026","Bonds and Notes","2007-05-08 00:00:00.000","2007-03-30 00:00:00.000","quarter",1e+08,7,2026,1,15,"Senior","NO","Not Convertible","USD","USD",1
"91797",901872841,NA,"5.50% Senior Notes Due May 15, 2015","Bonds and Notes","2010-05-05 00:00:00.000","2010-03-31 00:00:00.000","quarter",499600000,5.5,2015,5,15,"Senior",NA,"Not Convertible","USD","USD",1
"91797",901872841,NA,"5.50% Senior Notes Due May 15, 2015","Bonds and Notes","2010-08-04 00:00:00.000","2010-06-30 00:00:00.000","quarter",499600000,5.5,2015,5,15,"Senior",NA,"Not Convertible","USD","USD",2
"91797",901872841,NA,"5.50% Senior Notes Due May 15, 2015","Bonds and Notes","2010-11-03 00:00:00.000","2010-09-30 00:00:00.000","quarter",499600000,5.5,2015,5,15,"Senior",NA,"Not Convertible","USD","USD",3
"91797",901872841,NA,"5.50% Senior Notes Due May 15, 2015","Bonds and Notes","2011-05-04 00:00:00.000","2011-03-31 00:00:00.000","quarter",499700000,5.5,2015,5,15,"Senior",NA,"Not Convertible","USD","USD",4
"91797",901872841,NA,"5.50% Senior Notes Due May 15, 2015","Bonds and Notes","2011-08-03 00:00:00.000","2011-06-30 00:00:00.000","quarter",399700000,5.5,2015,5,15,"Senior",NA,"Not Convertible","USD","USD",5
"91797",901872841,NA,"5.50% Senior Notes Due May 15, 2015","Bonds and Notes","2011-11-02 00:00:00.000","2011-09-30 00:00:00.000","quarter",399800000,5.5,2015,5,15,"Senior",NA,"Not Convertible","USD","USD",6
"91797",901872841,NA,"5.50% Senior Notes Due May 15, 2015","Bonds and Notes","2012-05-02 00:00:00.000","2012-03-31 00:00:00.000","quarter",299800000,5.5,2015,5,15,"Senior",NA,"Not Convertible","USD","USD",7
"91797",901872841,NA,"5.50% Senior Notes Due May 15, 2015","Bonds and Notes","2012-08-01 00:00:00.000","2012-06-30 00:00:00.000","quarter",299800000,5.5,2015,5,15,"Senior",NA,"Not Convertible","USD","USD",8
"91797",901872841,NA,"5.50% Senior Notes Due May 15, 2015","Bonds and Notes","2012-11-01 00:00:00.000","2012-09-30 00:00:00.000","quarter",299800000,5.5,2015,5,15,"Senior",NA,"Not Convertible","USD","USD",9
"91797",901872841,NA,"5.50% Senior Notes Due May 15, 2015","Bonds and Notes","2013-04-25 00:00:00.000","2013-03-31 00:00:00.000","quarter",299900000,5.5,2015,5,15,"Senior",NA,"Not Convertible","USD","USD",10
"91797",901872841,NA,"5.50% Senior Notes Due May 15, 2015","Bonds and Notes","2013-07-30 00:00:00.000","2013-06-30 00:00:00.000","quarter",299900000,5.5,2015,5,15,"Senior",NA,"Not Convertible","USD","USD",11
"91797",901872841,NA,"5.50% Senior Notes Due May 15, 2015","Bonds and Notes","2013-11-05 00:00:00.000","2013-09-30 00:00:00.000","quarter",2e+08,5.5,2015,5,15,"Senior",NA,"Not Convertible","USD","USD",12
"91797",901872841,NA,"5.50% Senior Notes Due May 15, 2015","Bonds and Notes","2014-05-01 00:00:00.000","2014-03-31 00:00:00.000","quarter",2e+08,5.5,2015,5,15,"Senior",NA,"Not Convertible","USD","USD",13
"91797",901872841,NA,"5.50% Senior Notes Due May 15, 2015","Bonds and Notes","2014-07-30 00:00:00.000","2014-06-30 00:00:00.000","quarter",2e+08,5.5,2015,5,15,"Senior",NA,"Not Convertible","USD","USD",14
"91797",901872841,NA,"5.50% Senior Notes Due May 15, 2015","Bonds and Notes","2014-11-05 00:00:00.000","2014-09-30 00:00:00.000","quarter",2e+08,5.5,2015,5,15,"Senior",NA,"Not Convertible","USD","USD",15
"91797",901872841,NA,"5.50% Senior Notes Due May 15, 2015","Bonds and Notes","2015-05-07 00:00:00.000","2015-03-31 00:00:00.000","quarter",2e+08,5.5,2015,5,15,"Senior",NA,"Not Convertible","USD","USD",16
"91797",901872841,NA,"5.50% Senior Notes Due May 15, 2015","Bonds and Notes","2015-08-04 00:00:00.000","2015-06-30 00:00:00.000","quarter",0,5.5,2015,5,15,"Senior",NA,"Not Convertible","USD","USD",17
"91797",901872841,NA,"5.50% Senior Notes Due May 15, 2015","Bonds and Notes","2015-11-05 00:00:00.000","2015-09-30 00:00:00.000","quarter",0,5.5,2015,5,15,"Senior",NA,"Not Convertible","USD","USD",18
"103375",901875963,NA,"Liabilities from the Issuance of Promissory Notes","Bonds and Notes","2003-08-12 00:00:00.000","2003-06-30 00:00:00.000","quarter",7.8e+07,NA,9999,NA,NA,"Senior",NA,"Not Convertible","EUR","EUR",1
"103375",901875963,NA,"Liabilities from the Issuance of Promissory Notes","Bonds and Notes","2003-11-24 00:00:00.000","2003-09-30 00:00:00.000","quarter",7.8e+07,NA,9999,NA,NA,"Senior",NA,"Not Convertible","EUR","EUR",2
"103375",901875963,NA,"Liabilities from the Issuance of Promissory Notes","Bonds and Notes","2004-05-12 00:00:00.000","2004-03-31 00:00:00.000","quarter",5.9e+07,NA,9999,NA,NA,"Senior",NA,"Not Convertible","EUR","EUR",3
"103375",901875963,NA,"Liabilities from the Issuance of Promissory Notes","Bonds and Notes","2004-07-30 00:00:00.000","2004-06-30 00:00:00.000","quarter",5.9e+07,NA,9999,NA,NA,"Senior",NA,"Not Convertible","EUR","EUR",4
"103375",901875963,NA,"Liabilities from the Issuance of Promissory Notes","Bonds and Notes","2004-10-30 00:00:00.000","2004-09-30 00:00:00.000","quarter",5.9e+07,NA,9999,NA,NA,"Senior",NA,"Not Convertible","EUR","EUR",5
"103375",901875963,NA,"Liabilities from the Issuance of Promissory Notes","Bonds and Notes","2005-05-11 00:00:00.000","2005-03-31 00:00:00.000","quarter",1.12e+08,NA,9999,NA,NA,"Senior",NA,"Not Convertible","EUR","EUR",6
"103375",901875963,NA,"Liabilities from the Issuance of Promissory Notes","Bonds and Notes","2005-08-11 00:00:00.000","2005-06-30 00:00:00.000","quarter",1.12e+08,NA,9999,NA,NA,"Senior",NA,"Not Convertible","EUR","EUR",7
"103375",901875963,NA,"Liabilities from the Issuance of Promissory Notes","Bonds and Notes","2005-11-10 00:00:00.000","2005-09-30 00:00:00.000","quarter",1.12e+08,NA,9999,NA,NA,"Senior",NA,"Not Convertible","EUR","EUR",8
"103375",901875963,NA,"Liabilities from the Issuance of Promissory Notes","Bonds and Notes","2006-05-03 00:00:00.000","2006-03-31 00:00:00.000","quarter",1e+06,NA,9999,NA,NA,"Senior",NA,"Not Convertible","EUR","EUR",9
"103375",901875963,NA,"Liabilities from the Issuance of Promissory Notes","Bonds and Notes","2006-08-30 00:00:00.000","2006-06-30 00:00:00.000","quarter",1e+06,NA,9999,NA,NA,"Senior",NA,"Not Convertible","EUR","EUR",10
"103375",901875963,NA,"Liabilities from the Issuance of Promissory Notes","Bonds and Notes","2006-10-30 00:00:00.000","2006-09-30 00:00:00.000","quarter",1e+06,NA,9999,NA,NA,"Senior",NA,"Not Convertible","EUR","EUR",11
"103375",901875964,NA,"Liabilities under Lease Agreements","Capital Lease","2003-08-12 00:00:00.000","2003-06-30 00:00:00.000","quarter",7.08e+08,NA,9999,NA,NA,"Senior","YES","Not Convertible","EUR","EUR",1
"103375",901875964,NA,"Liabilities under Lease Agreements","Capital Lease","2003-11-24 00:00:00.000","2003-09-30 00:00:00.000","quarter",7.08e+08,NA,9999,NA,NA,"Senior","YES","Not Convertible","EUR","EUR",2
"103375",901875964,NA,"Liabilities under Lease Agreements","Capital Lease","2004-05-12 00:00:00.000","2004-03-31 00:00:00.000","quarter",5.75e+08,NA,9999,NA,NA,"Senior","YES","Not Convertible","EUR","EUR",3
"103375",901875964,NA,"Liabilities under Lease Agreements","Capital Lease","2004-07-30 00:00:00.000","2004-06-30 00:00:00.000","quarter",5.75e+08,NA,9999,NA,NA,"Senior","YES","Not Convertible","EUR","EUR",4
"103375",901875964,NA,"Liabilities under Lease Agreements","Capital Lease","2004-10-30 00:00:00.000","2004-09-30 00:00:00.000","quarter",5.75e+08,NA,9999,NA,NA,"Senior","YES","Not Convertible","EUR","EUR",5
"103375",901875964,NA,"Liabilities under Lease Agreements","Capital Lease","2005-05-11 00:00:00.000","2005-03-31 00:00:00.000","quarter",4.62e+08,NA,9999,NA,NA,"Senior","YES","Not Convertible","EUR","EUR",6
"103375",901875964,NA,"Liabilities under Lease Agreements","Capital Lease","2005-08-11 00:00:00.000","2005-06-30 00:00:00.000","quarter",4.62e+08,NA,9999,NA,NA,"Senior","YES","Not Convertible","EUR","EUR",7
"103375",901875964,NA,"Liabilities under Lease Agreements","Capital Lease","2005-11-10 00:00:00.000","2005-09-30 00:00:00.000","quarter",4.62e+08,NA,9999,NA,NA,"Senior","YES","Not Convertible","EUR","EUR",8
"103375",901875964,NA,"Liabilities under Lease Agreements","Capital Lease","2006-05-03 00:00:00.000","2006-03-31 00:00:00.000","quarter",4.68e+08,NA,9999,NA,NA,"Senior","YES","Not Convertible","EUR","EUR",9
"103375",901875964,NA,"Liabilities under Lease Agreements","Capital Lease","2006-08-30 00:00:00.000","2006-06-30 00:00:00.000","quarter",4.68e+08,NA,9999,NA,NA,"Senior","YES","Not Convertible","EUR","EUR",10
"103375",901875964,NA,"Liabilities under Lease Agreements","Capital Lease","2006-10-30 00:00:00.000","2006-09-30 00:00:00.000","quarter",4.68e+08,NA,9999,NA,NA,"Senior","YES","Not Convertible","EUR","EUR",11
"18527",901880176,NA,"Bonds","Bonds and Notes","2006-10-27 00:00:00.000","2006-09-30 00:00:00.000","quarter",7.7e+07,9.5,2008,NA,NA,"Senior",NA,"Not Convertible","USD","USD",1
"160077",901881362,NA,"5.950% Senior Unsecured Notes, due 2034","Bonds and Notes","2006-04-26 00:00:00.000","2006-03-31 00:00:00.000","quarter",493900000,5.95,2034,NA,NA,"Senior","NO","Not Convertible","USD","USD",1
"160077",901881362,NA,"5.950% Senior Unsecured Notes, due 2034","Bonds and Notes","2006-07-26 00:00:00.000","2006-06-30 00:00:00.000","quarter",493900000,5.95,2034,NA,NA,"Senior","NO","Not Convertible","USD","USD",2
"160077",901881362,NA,"5.950% Senior Unsecured Notes, due 2034","Bonds and Notes","2006-10-25 00:00:00.000","2006-09-30 00:00:00.000","quarter",493900000,5.95,2034,NA,NA,"Senior","NO","Not Convertible","USD","USD",3
"23021",901883787,NA,"Guarantee Deposits Received","Other Borrowings","2010-02-04 00:00:00.000","2009-12-31 00:00:00.000","quarter",2.1878e+10,NA,9999,NA,NA,"Senior",NA,"Not Convertible","JPY","JPY",1
"248869",901885205,NA,"Revolving Credit Facility Due 2009","Revolving Credit","2006-08-07 00:00:00.000","2006-07-02 00:00:00.000","quarter",7.5e+07,5.2,2009,NA,NA,"Senior","YES","Not Convertible","USD","USD",1
"248869",901885205,NA,"Revolving Credit Facility Due 2009","Revolving Credit","2006-11-13 00:00:00.000","2006-10-01 00:00:00.000","quarter",3.7e+07,5.2,2009,NA,NA,"Senior","YES","Not Convertible","USD","USD",2
"248869",901885205,NA,"Revolving Credit Facility Due 2009","Revolving Credit","2007-02-02 00:00:00.000","2006-12-31 00:00:00.000","quarter",1.25e+08,5.2,2009,NA,NA,"Senior","YES","Not Convertible","USD","USD",3
"33982",901886846,NA,"7.25% Senior Debentures Due 2031","Bonds and Notes","2004-05-06 00:00:00.000","2004-03-27 00:00:00.000","quarter",6e+08,7.25,2031,NA,NA,"Senior","NO","Not Convertible","USD","USD",1
"33982",901886846,NA,"7.25% Senior Debentures Due 2031","Bonds and Notes","2006-05-03 00:00:00.000","2006-03-25 00:00:00.000","quarter",6e+08,7.25,2031,NA,NA,"Senior","NO","Not Convertible","USD","USD",2
"33982",901886846,NA,"7.25% Senior Debentures Due 2031","Bonds and Notes","2006-07-21 00:00:00.000","2006-06-17 00:00:00.000","quarter",6e+08,7.25,2031,NA,NA,"Senior","NO","Not Convertible","USD","USD",3
"33982",901886846,NA,"7.25% Senior Debentures Due 2031","Bonds and Notes","2006-10-13 00:00:00.000","2006-09-09 00:00:00.000","quarter",6e+08,7.25,2031,NA,NA,"Senior","NO","Not Convertible","USD","USD",4
"33982",901886846,NA,"7.25% Senior Debentures Due 2031","Bonds and Notes","2007-04-27 00:00:00.000","2007-03-24 00:00:00.000","quarter",6e+08,7.25,2031,NA,NA,"Senior","NO","Not Convertible","USD","USD",5
"33982",901886846,NA,"7.25% Senior Debentures Due 2031","Bonds and Notes","2007-07-23 00:00:00.000","2007-06-16 00:00:00.000","quarter",6e+08,7.25,2031,NA,NA,"Senior","NO","Not Convertible","USD","USD",6
"33982",901886846,NA,"7.25% Senior Debentures Due 2031","Bonds and Notes","2007-10-16 00:00:00.000","2007-09-08 00:00:00.000","quarter",6e+08,7.25,2031,NA,NA,"Senior","NO","Not Convertible","USD","USD",7
"33982",901886846,NA,"7.25% Senior Debentures Due 2031","Bonds and Notes","2008-04-28 00:00:00.000","2008-03-22 00:00:00.000","quarter",6e+08,7.25,2031,NA,NA,"Senior","NO","Not Convertible","USD","USD",8
"33982",901886846,NA,"7.25% Senior Debentures Due 2031","Bonds and Notes","2008-07-17 00:00:00.000","2008-06-14 00:00:00.000","quarter",6e+08,7.25,2031,NA,NA,"Senior","NO","Not Convertible","USD","USD",9
"33982",901886846,NA,"7.25% Senior Debentures Due 2031","Bonds and Notes","2008-10-08 00:00:00.000","2008-09-06 00:00:00.000","quarter",6e+08,7.25,2031,NA,NA,"Senior","NO","Not Convertible","USD","USD",10
"33982",901886846,NA,"7.25% Senior Debentures Due 2031","Bonds and Notes","2009-05-01 00:00:00.000","2009-03-28 00:00:00.000","quarter",6e+08,7.25,2031,NA,NA,"Senior","NO","Not Convertible","USD","USD",11
"33982",901886846,NA,"7.25% Senior Debentures Due 2031","Bonds and Notes","2009-07-27 00:00:00.000","2009-06-20 00:00:00.000","quarter",6e+08,7.25,2031,NA,NA,"Senior","NO","Not Convertible","USD","USD",12
"33982",901886846,NA,"7.25% Senior Debentures Due 2031","Bonds and Notes","2009-10-19 00:00:00.000","2009-09-12 00:00:00.000","quarter",6e+08,7.25,2031,NA,NA,"Senior","NO","Not Convertible","USD","USD",13
"33982",901886846,NA,"7.25% Senior Debentures Due 2031","Bonds and Notes","2010-04-30 00:00:00.000","2010-03-27 00:00:00.000","quarter",6e+08,7.25,2031,NA,NA,"Senior","NO","Not Convertible","USD","USD",14
